subject_id,tau_ms,n_windows,n_positive_labels,positive_label_fraction,timing_confidence,notes,pearson,spearman,rmse,mae,brier_score,auc_row_score,auprc_row_score,high_burden_threshold,predicted_high_burden_threshold,auc_high_burden,auprc_high_burden,balanced_accuracy_high_burden,calibration_slope,calibration_intercept
sub-BYJoWR,500.0,33587,13692,0.40765772471491946,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.11769209070819528,0.1388386590767774,0.31935481438568136,0.27500193999590616,0.2368079473749276,0.5970224705118172,0.5002710698518514,0.7491351976053727,0.47797350144490786,0.5929621818896862,0.29762832989883975,0.5687184249221406,0.6513867302586,0.14777988719208848
sub-FIyfdR,500.0,25355,11913,0.4698481561822126,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.11850959602936532,0.12669315306428058,0.3218296645095836,0.27510119958707274,0.24878367170715412,0.5841937223214784,0.5482566533492761,0.7470291536028062,0.47916983212086606,0.5777218084811331,0.33033238049490343,0.5092881165113169,1.004831161921214,0.07981906131250355
sub-FYbcap,500.0,34794,15153,0.4355061217451285,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.22708718124115793,0.22847290445091037,0.3190124075922912,0.2771362970635482,0.23473217534374524,0.6324141113963103,0.5760816779643396,0.7476294034010356,0.47835499370918033,0.6373448459128875,0.3779829474190777,0.5809031042176978,1.6876466025424963,-0.2824752176036278
sub-PuPVlx,500.0,47375,21933,0.46296569920844327,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.1297294650226751,0.13556461705091635,0.32630584518324446,0.2794537708184215,0.246828713351176,0.5932679532391729,0.551292610759277,0.7466592229235576,0.4807492440698894,0.5850439316562455,0.3544039299584859,0.5081147547170185,1.128944244667566,0.031073610797664908
sub-QZTsn6,500.0,35177,16221,0.4611251670125366,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.21405326953904472,0.21563567365698338,0.320199132798835,0.27779410954377537,0.23793119178123856,0.6336713013861516,0.6047733778121105,0.7465063804378504,0.4781931484799692,0.6309175116260736,0.4114838145212044,0.5880906138581365,1.6429749304964099,-0.24836211880683787
sub-VopvKx,500.0,37492,17163,0.4577776592339699,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.22173553205532495,0.23444043893274194,0.3037693018321486,0.25988756948042246,0.2379847973909687,0.6278755691275534,0.5901290917518481,0.7476105283091954,0.4781195879913046,0.6347724686419286,0.39915162424388534,0.5974939025282995,1.4602423315033182,-0.16649508740516672
sub-dCsWjQ,500.0,19124,9762,0.5104580631667015,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.07235767905250479,0.06538686419111624,0.3635908975912448,0.31253955449702275,0.2618464038079973,0.5671986386443849,0.5803954208930802,0.7448530348205146,0.47872196164718156,0.5315772689766147,0.3836833669341023,0.5115286677079723,0.4779166937003486,0.3461054099779794
sub-gNX5yb,500.0,42858,17151,0.4001819963600728,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.11111194502942735,0.11535108455824644,0.3225713531238181,0.27984236950374364,0.23502887901041997,0.5848708590445899,0.4768507205293487,0.7501932383931836,0.4802609223516928,0.5869816832229804,0.27955235929952305,0.5154916016951971,0.8998858707690822,0.05582596725011583
sub-hnetKS,500.0,35629,16776,0.47085239552050295,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.16228919066958866,0.17249543903761066,0.3153819301609761,0.2719851851018799,0.24158741837847328,0.6159174834988801,0.5846607219523903,0.7462440499798331,0.47835745029847215,0.5986030022539927,0.37146364272034793,0.5657799897386786,1.254825203569277,-0.06401056832183952
sub-i4oK0F,500.0,24436,11520,0.47143558683908987,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.18853071644477917,0.18186152472931752,0.31074832167445793,0.26668911789254346,0.2427871049531706,0.5946430736478872,0.5516132812648029,0.7467539029463066,0.4762223099240656,0.5863523351990227,0.3356970189307678,0.5533575645754538,0.928536127991286,0.046781347994542914
sub-iDpl28,500.0,35798,12648,0.3533158276998715,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.36538699178402584,0.3762584343563371,0.35118150243995927,0.3061536763095504,0.23520141027042174,0.669398397274328,0.547248218502884,0.750582998788566,0.47302571744370964,0.6933713570472203,0.3825505296301343,0.5906642376731907,1.602460034117197,-0.4554251230735867
sub-jyC0j3,500.0,34640,12915,0.3728348729792148,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.1682638246012787,0.16101501920797548,0.3180967774383904,0.2765752314240124,0.23134713423129405,0.6099108172538243,0.46998868180142594,0.7512199747146975,0.4780560085013377,0.6211385511581933,0.27986589930531136,0.5875173290907519,1.2317903382465112,-0.15576295188871017
sub-oLNpHd,500.0,24360,10893,0.4471674876847291,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.2706308365485938,0.25830411833201217,0.3257944093547501,0.2830820758713529,0.23574745258596772,0.6217408363284211,0.5839913834737407,0.7466501853085146,0.47672381735283464,0.6305516503432705,0.42817128818827566,0.5906523853408884,1.402278770206794,-0.17785933278249821
sub-0cGdk9,800.0,30987,14400,0.46471100784199826,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.1318269438177749,0.1286173106360779,0.2835128233270067,0.23865782112501163,0.2453601113468763,0.5996178901817353,0.5505561823941764,0.6963935530534852,0.4767319553306458,0.5886283066918219,0.3390366213971293,0.5127436034016106,0.9771181283963422,0.08002961315598725
sub-2IU8mi,800.0,37666,18159,0.48210587798014126,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.24355475743599522,0.2480531503863093,0.2847623566001536,0.23955032142853674,0.2409026942318242,0.6273077686351911,0.6147540252120147,0.695132574867058,0.47560123326785636,0.6355303001443665,0.4202866705717437,0.5859055374141077,1.6179923184921186,-0.218642380021892
sub-2IhVOz,800.0,37219,16131,0.4334076681264945,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.29047606502369255,0.2912787723124559,0.2881561371344511,0.2394715664354469,0.2374635184755429,0.6338789482080001,0.5741127509761592,0.6968300025047746,0.470495536076344,0.6425776513620963,0.38096171238549364,0.5719894121961943,1.1382299046329019,-0.12353836052761388
sub-6m9kB5,800.0,17836,6177,0.3463220453016371,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.5116107211667505,0.557368401562638,0.39287786011921166,0.33544137224697623,0.2776820200728754,0.6985051843476744,0.5673494086738439,0.6966535284494989,0.4723689201256915,0.7549533486261077,0.5230140711666228,0.5770029299744738,1.240821421365832,-0.3869418351949564
sub-8RgPiG,800.0,43690,19407,0.44419775692378116,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.2228816140399554,0.22721790229197858,0.32521529732135385,0.2798054070911904,0.23567478742884915,0.6297026546361234,0.5818929212771886,0.6936503817372304,0.47296524165878245,0.6226494789994753,0.4351679302955481,0.5973138867668002,1.3662618337108838,-0.16890170361230017
sub-AB2PeX,800.0,42042,19167,0.4559012416155273,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.30257557943737623,0.305716198545545,0.2864895128574674,0.2430197665853868,0.2358153676394007,0.6411833898255797,0.607802829779,0.6957772314095723,0.4756820656862294,0.6665700926685223,0.4461032131796048,0.607856827813086,1.9786675959160331,-0.39747422110711267
sub-AbzsOg,800.0,50023,25083,0.5014293425024489,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.2524177132735457,0.26000223350883217,0.28796209782568205,0.24215546670769242,0.24293405796067535,0.6147451551466613,0.6147190598419814,0.6923365952030998,0.4745442083137445,0.6434397587706845,0.4615906018931592,0.6030894688528162,1.5745656127971257,-0.19512062813375863
sub-BYJoWR,800.0,33587,13692,0.40765772471491946,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.12656387471526398,0.15334809727993925,0.29267214286517246,0.24706017282180848,0.2368079473749276,0.5970224705118172,0.5002710698518514,0.6982576798701982,0.4753573600204557,0.598426234461657,0.2978381203767873,0.5681086130256613,0.6733303572701812,0.13461410916777727
sub-FIyfdR,800.0,25355,11913,0.4698481561822126,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.13005717282180185,0.1365488416551191,0.28830302852894824,0.24272929773173693,0.24878367170715412,0.5841937223214784,0.5482566533492761,0.6963529113442768,0.47643805707420905,0.578559939377389,0.32888187342921665,0.5059528044368286,1.0629568200000932,0.05185881805090191
sub-FYbcap,800.0,34794,15153,0.4355061217451285,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.2481535593972197,0.2546669684536523,0.2905847580666923,0.24807856700590195,0.23473217534374524,0.6324141113963103,0.5760816779643396,0.6966901979793749,0.47573864657900666,0.6506213914362274,0.38741467084220277,0.5777668154931104,1.8455343554109667,-0.35698168670774005
sub-PuPVlx,800.0,47375,21933,0.46296569920844327,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.14988768992491658,0.1524813619501111,0.2940282515994031,0.24811480945286654,0.246828713351176,0.5932679532391729,0.551292610759277,0.696031969525244,0.47791792580783127,0.5912729212468089,0.35421893486600986,0.5055402651480163,1.2893371984732631,-0.038432620904324324
