validation_mode,subject_id,model_name,feature_set_name,tau_ms,pearson,spearman,is_subject_best_tau,is_global_train_selected_tau,timing_confidence,notes
LOSO_cross_subject,sub-6m9kB5,class_prior_baseline,none,3000.0,0.10832268109436324,0.37602975220016355,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-8RgPiG,class_prior_baseline,none,3000.0,0.08652884773867452,0.09051218442512803,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-AB2PeX,class_prior_baseline,none,3000.0,0.12540251508686148,0.1073429224916513,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-AbzsOg,class_prior_baseline,none,3000.0,0.15767833215535615,-0.04253017229808708,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-BYJoWR,class_prior_baseline,none,3000.0,0.1250195116862702,0.13382230261791628,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-FIyfdR,class_prior_baseline,none,3000.0,0.16027215474870893,0.08300678122230536,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-FYbcap,class_prior_baseline,none,3000.0,0.12481732895245025,0.16635114886807664,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-PuPVlx,class_prior_baseline,none,3000.0,0.16813928227534547,0.13822485360207878,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-QZTsn6,class_prior_baseline,none,3000.0,0.15040540804302832,0.12542461369170638,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-VopvKx,class_prior_baseline,none,3000.0,0.18026635630588747,0.16361332906683587,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-dCsWjQ,class_prior_baseline,none,3000.0,0.15505447958857801,0.045577914872461205,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-gNX5yb,class_prior_baseline,none,3000.0,0.14707036860728706,0.15139374410916964,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-hnetKS,class_prior_baseline,none,3000.0,0.20020437577474534,0.22480338082590154,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-i4oK0F,class_prior_baseline,none,3000.0,0.16203028050678828,0.1519136540490603,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-iDpl28,class_prior_baseline,none,3000.0,0.08080967156435843,0.07238054537703387,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-jyC0j3,class_prior_baseline,none,3000.0,0.1219091264320233,0.09107083359528231,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-oLNpHd,class_prior_baseline,none,3000.0,0.14118475725828256,0.10050020411384797,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-0cGdk9,class_prior_baseline,none,5000.0,0.27665119927255777,0.3717975957901095,True,True,non_definitive_event_matrix,global tau selected on training subjects only
LOSO_cross_subject,sub-2IU8mi,class_prior_baseline,none,5000.0,0.24140712169932685,0.144135732989673,True,True,non_definitive_event_matrix,global tau selected on training subjects only
LOSO_cross_subject,sub-2IhVOz,class_prior_baseline,none,5000.0,0.18719153543680705,0.00793543818487149,True,True,non_definitive_event_matrix,global tau selected on training subjects only
