row_type,validation_mode,model_name,feature_set_name,tau_ms,subject_id,n_rows,positive_fraction,pearson_burden,spearman_burden,rmse_burden,mae_burden,auroc_label,auprc_label,brier_score,calibration_slope,calibration_intercept,high_burden_balanced_accuracy,timing_confidence,continuity_class,median_pearson,median_spearman,iqr_pearson,iqr_spearman,n_valid_subjects,n_high_subjects_r_ge_0_5,n_moderate_subjects_r_0_3_to_0_5,n_low_subjects_r_le_0_2,beats_beta_by,beats_shuffled_by,beats_class_prior_by,deployable,offline_ceiling,notes
subject,LOSO_cross_subject,class_prior_baseline,none,500.0,sub-gNX5yb,42858,0.40018200874328613,0.04086201593501849,0.05399448770280487,0.3243709291266452,0.28199019315790236,0.5,0.4001819963600728,0.24219962327092323,1.0780785787868592,-0.059345797593469585,0.5053687575231125,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,500.0,sub-hnetKS,35629,0.47085240483283997,0.05462634480517727,0.05652173674876334,0.31874328723894696,0.27526835611253875,0.5,0.47085239552050295,0.24996384373961417,1.31802182257474,-0.08966814212952084,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,500.0,sub-i4oK0F,24436,0.4714355766773224,0.03803269984104528,0.010806159800685411,0.31854650375974003,0.27463287562082583,0.5,0.47143558683908987,0.25000464897493696,0.8682243549324595,0.10508973215564056,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,500.0,sub-iDpl28,35798,0.3533158302307129,0.023961469480602748,-0.008113275255760149,0.3478684467900084,0.3094265798161743,0.5,0.3533158276998715,0.23759241689726293,0.6697561675753093,0.07085276303868712,0.5023384409760109,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,500.0,sub-jyC0j3,34640,0.37283486127853394,0.03311456660137381,0.015971188252941023,0.3214443692850249,0.27996585964428233,0.5,0.3728348729792148,0.2394121197739104,0.7784280399435203,0.0458928142003029,0.5023594056801003,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,500.0,sub-oLNpHd,24360,0.4471674859523773,0.03454513015351653,0.0510339777372497,0.33693333001936226,0.293738574265311,0.5,0.4471674876847291,0.2472208797726032,0.9360996216262332,0.05322142632052847,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,800.0,sub-0cGdk9,30987,0.4647110104560852,0.06936279324223488,0.09206342752301735,0.2782210607187919,0.23393009653714514,0.5,0.46471100784199826,0.2492338439920699,1.0414306755350005,0.01933984528361216,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,800.0,sub-2IU8mi,37666,0.48210588097572327,0.054506519903991524,0.042418099507339116,0.29089331490044984,0.2448926315562846,0.5,0.48210587798014126,0.2513210919653211,0.8539805899487457,0.11813382647140427,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,800.0,sub-2IhVOz,37219,0.43340766429901123,0.05040601924345962,0.004812053706713273,0.2951349299670401,0.2507374792505135,0.5,0.4334076681264945,0.24568622614969662,0.91106781512515,0.05311287340348428,0.5054873664102516,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,800.0,sub-6m9kB5,17836,0.34632205963134766,0.05880607499449045,0.20184134421036914,0.36678508489202727,0.33072733351751826,0.5,0.3463220453016371,0.2363968076460382,1.4364524667169674,-0.272528220259212,0.5051352150140387,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
